date,open,high,low,close,month
2018-10-31,95.13,97.2,94.78,97.13,2018-10
2018-11-30,97.1,97.7,95.67,97.2,2018-11
2018-12-31,96.99,97.72,96.04,96.06,2018-12
2019-01-31,96.07,96.97,95.02,95.55,2019-01
2019-02-28,95.56,97.38,95.39,96.23,2019-02
2019-03-31,96.22,97.72,95.74,97.2,2019-03
2019-04-30,97.2,98.34,96.74,97.54,2019-04
2019-05-31,97.52,98.38,97.03,97.61,2019-05
2019-06-30,97.77,97.81,95.84,96.14,2019-06
2019-07-31,96.84,98.7,96.17,98.59,2019-07
2019-08-31,98.59,99.03,97.04,98.81,2019-08
2019-09-30,98.79,99.47,97.79,99.4,2019-09
2019-10-31,99.4,99.68,97.11,97.33,2019-10
2019-11-30,97.25,98.55,97.11,98.29,2019-11
2019-12-31,98.27,98.39,96.35,96.49,2019-12
2020-01-31,96.5,98.19,96.3,97.36,2020-01
2020-02-29,97.41,99.92,97.39,98.14,2020-02
2020-03-31,97.99,103.01,94.63,98.94,2020-03
2020-04-30,98.95,100.94,98.79,99.04,2020-04
2020-05-31,98.95,100.58,97.94,98.3,2020-05
2020-06-30,98.24,98.32,95.71,97.39,2020-06
2020-07-31,97.39,97.64,92.54,93.49,2020-07
2020-08-31,93.46,94.0,91.99,92.15,2020-08
2020-09-30,92.15,94.75,91.74,93.83,2020-09
2020-10-31,93.83,94.11,92.47,94.03,2020-10
2020-11-30,94.04,94.32,91.5,92.03,2020-11
2020-12-31,92.02,92.04,89.51,89.95,2020-12
2021-01-31,89.94,90.96,89.2,90.54,2021-01
2021-02-28,90.56,91.6,89.68,90.94,2021-02
2021-03-31,90.9,93.45,90.63,93.21,2021-03
2021-04-30,93.2,93.34,90.42,91.3,2021-04
2021-05-31,91.25,91.44,89.53,89.85,2021-05
2021-06-30,89.85,92.45,89.66,92.35,2021-06
2021-07-31,92.36,93.2,91.78,92.06,2021-07
2021-08-31,92.11,93.73,91.82,92.65,2021-08
2021-09-30,92.65,94.51,91.95,94.24,2021-09
2021-10-31,94.25,94.57,93.28,94.12,2021-10
2021-11-30,94.13,96.95,93.82,95.9,2021-11
2021-12-31,95.91,96.92,95.57,95.65,2021-12
2022-01-31,95.63,97.45,94.63,96.64,2022-01
2022-02-28,96.64,97.74,95.13,96.71,2022-02
2022-03-31,96.71,99.42,96.62,98.35,2022-03
2022-04-30,98.35,103.94,98.29,103.21,2022-04
2022-05-31,103.17,105.03,101.29,101.79,2022-05
2022-06-30,101.79,105.67,101.64,104.73,2022-06
2022-07-31,104.72,109.3,104.71,105.83,2022-07
2022-08-31,105.86,109.49,104.63,108.71,2022-08
2022-09-30,108.7,114.79,107.68,112.22,2022-09
2022-10-31,112.18,113.96,109.53,111.58,2022-10
2022-11-30,111.58,113.16,105.31,105.98,2022-11
2022-12-31,106.0,106.04,103.39,103.49,2022-12
2023-01-31,103.48,105.64,101.5,102.1,2023-01
2023-02-28,102.09,105.36,100.8,104.99,2023-02
2023-03-31,104.99,105.89,101.91,102.44,2023-03
2023-04-30,102.64,103.07,100.78,101.67,2023-04
2023-05-31,101.64,104.7,101.03,104.23,2023-05
2023-06-30,104.22,104.51,101.89,102.92,2023-06
2023-07-31,102.93,103.58,99.55,101.88,2023-07
2023-08-31,101.87,104.45,101.74,103.64,2023-08
2023-09-30,103.64,106.84,103.27,106.19,2023-09
2023-10-31,106.21,107.35,105.35,106.71,2023-10
2023-11-30,106.72,107.12,102.46,103.51,2023-11
2023-12-31,103.52,104.29,100.62,101.38,2023-12
2024-01-31,101.37,103.83,101.27,103.52,2024-01
2024-02-29,103.52,104.98,102.9,104.13,2024-02
2024-03-31,104.13,104.73,102.36,104.5,2024-03
2024-04-30,104.52,106.52,103.88,106.29,2024-04
2024-05-31,106.3,106.49,104.08,104.65,2024-05
2024-06-30,104.62,106.14,103.99,105.84,2024-06
2024-07-31,105.71,106.06,103.64,104.03,2024-07
2024-08-31,104.03,104.45,100.51,101.73,2024-08
2024-09-30,101.71,101.92,100.15,100.75,2024-09
2024-10-31,100.74,104.57,100.68,103.9,2024-10
2024-11-30,103.88,108.12,103.34,105.77,2024-11
2024-12-31,105.82,108.59,105.41,108.48,2024-12
2025-01-31,108.48,110.18,106.96,108.53,2025-01
2025-02-28,109.37,109.89,106.12,107.57,2025-02
2025-03-31,107.38,107.41,103.19,104.19,2025-03
2025-04-30,104.18,104.37,97.91,99.65,2025-04
2025-05-31,99.64,101.98,98.69,99.44,2025-05
2025-06-30,99.4,99.43,96.77,96.77,2025-06
2025-07-31,96.78,100.1,96.37,100.07,2025-07
2025-08-31,100.06,100.26,97.56,97.85,2025-08
2025-09-30,97.79,98.65,96.22,97.83,2025-09
2025-10-31,97.84,99.85,97.46,99.73,2025-10
2025-11-30,99.87,100.41,98.99,99.47,2025-11
2025-12-31,99.49,99.57,97.75,98.27,2025-12
2026-01-31,98.28,99.5,95.51,97.13,2026-01
2026-02-28,97.14,98.08,96.49,97.62,2026-02
2026-03-31,97.93,100.65,97.77,99.88,2026-03
2026-04-30,99.89,100.29,97.63,98.1,2026-04
2026-05-31,98.09,99.55,97.62,98.93,2026-05
2026-06-30,98.97,101.8,98.92,101.17,2026-06
2026-07-31,101.16,101.6,100.55,101.08,2026-07
